#decay	# windows in store	# elements in stream	query	age class	length class	error:mean	latency:p95	ci-width:p95	ci-miss-rate
rationalPower1,4,4,1	302	313814094	BF	hours	months	0.000000	0.000500	0.033525	0.000000
rationalPower1,4,4,1	302	313814094	BF	days	seconds	0.171245	0.000500	0.999936	0.000000
rationalPower1,4,4,1	302	313814094	BF	days	minutes	0.000000	0.000500	0.994691	0.000000
rationalPower1,4,4,1	302	313814094	BF	days	hours	0.000000	0.000500	0.863978	0.000000
rationalPower1,4,4,1	302	313814094	BF	days	days	0.000000	0.000500	0.191053	0.000000
rationalPower1,4,4,1	302	313814094	BF	days	months	0.000000	0.000500	0.040486	0.000000
rationalPower1,4,4,1	302	313814094	BF	months	seconds	0.177196	0.000500	0.999992	0.000000
rationalPower1,4,4,1	302	313814094	BF	months	minutes	0.000000	0.000500	0.999333	0.000000
rationalPower1,4,4,1	302	313814094	BF	months	hours	0.000000	0.000500	0.984402	0.000000
rationalPower1,4,4,1	302	313814094	BF	months	days	0.000000	0.000500	0.661297	0.000000
rationalPower1,4,4,1	302	313814094	BF	months	months	0.000000	0.001500	0.140785	0.000000
rationalPower1,4,4,1	302	313814094	BF	years	seconds	1.000000	0.000000	1.000000	0.000000
rationalPower1,4,8,1	521	313814094	BF	subsecond	seconds	0.050847	0.000000	0.293483	0.000000
rationalPower1,4,8,1	521	313814094	BF	subsecond	minutes	0.000000	0.001000	0.086703	0.000000
rationalPower1,4,8,1	521	313814094	BF	subsecond	hours	0.000000	0.000000	0.043967	0.000000
rationalPower1,4,8,1	521	313814094	BF	subsecond	days	0.000000	0.000000	0.030365	0.000000
rationalPower1,4,8,1	521	313814094	BF	subsecond	months	0.000000	0.000000	0.026241	0.000000
rationalPower1,4,8,1	521	313814094	BF	subsecond	years	0.000000	0.002000	0.010000	0.000000
rationalPower1,4,8,1	521	313814094	BF	seconds	seconds	0.083022	0.000500	0.608640	0.000000
rationalPower1,4,8,1	521	313814094	BF	seconds	minutes	0.000287	0.000500	0.100685	0.000000
rationalPower1,4,8,1	521	313814094	BF	seconds	hours	0.000000	0.000500	0.040985	0.000000
rationalPower1,4,8,1	521	313814094	BF	seconds	days	0.000000	0.000500	0.030241	0.000000
rationalPower1,4,8,1	521	313814094	BF	seconds	months	0.000000	0.000500	0.026231	0.000000
rationalPower1,4,8,1	521	313814094	BF	seconds	years	0.000000	0.000000	0.010000	0.000000
rationalPower1,4,8,1	521	313814094	BF	minutes	seconds	0.171502	0.000500	0.979745	0.000000
rationalPower1,4,8,1	521	313814094	BF	minutes	minutes	0.000000	0.000500	0.389227	0.000000
rationalPower1,4,8,1	521	313814094	BF	minutes	hours	0.000000	0.000500	0.059527	0.000000
rationalPower1,4,8,1	521	313814094	BF	minutes	days	0.000000	0.000500	0.030898	0.000000
rationalPower1,4,8,1	521	313814094	BF	minutes	months	0.000000	0.000500	0.025551	0.000000
rationalPower1,4,8,1	521	313814094	BF	hours	seconds	0.179808	0.000500	0.998080	0.000000
rationalPower1,4,8,1	521	313814094	BF	hours	minutes	0.000000	0.000500	0.884898	0.000000
rationalPower1,4,8,1	521	313814094	BF	hours	hours	0.000000	0.000500	0.229440	0.000000
rationalPower1,4,8,1	521	313814094	BF	hours	days	0.000000	0.000500	0.037211	0.000000
rationalPower1,4,8,1	521	313814094	BF	hours	months	0.000000	0.000500	0.023362	0.000000
rationalPower1,4,8,1	521	313814094	BF	days	seconds	0.171245	0.000500	0.999900	0.000000
rationalPower1,4,8,1	521	313814094	BF	days	minutes	0.000000	0.000500	0.991852	0.000000
rationalPower1,4,8,1	521	313814094	BF	days	hours	0.000000	0.000500	0.808638	0.000000
rationalPower1,4,8,1	521	313814094	BF	days	days	0.000000	0.000500	0.127999	0.000000
rationalPower1,4,8,1	521	313814094	BF	days	months	0.000000	0.000500	0.028844	0.000000
rationalPower1,4,8,1	521	313814094	BF	months	seconds	0.177196	0.000500	0.999985	0.000000
rationalPower1,4,8,1	521	313814094	BF	months	minutes	0.000000	0.000500	0.998838	0.000000
rationalPower1,4,8,1	521	313814094	BF	months	hours	0.000000	0.000500	0.963631	0.000000
rationalPower1,4,8,1	521	313814094	BF	months	days	0.000000	0.000500	0.563590	0.000000
rationalPower1,4,8,1	521	313814094	BF	months	months	0.000000	0.000500	0.112252	0.000000
rationalPower1,4,8,1	521	313814094	BF	years	seconds	1.000000	0.000000	1.000000	0.000000
rationalPower1,4,16,1	889	313814094	BF	subsecond	seconds	0.033898	0.004000	0.208860	0.000000
