#decay	# windows in store	# elements in stream	query	age class	length class	error:mean	latency:mean	ci-width:mean	ci-miss-rate
rationalPower1,4,2,1	174	313814094	BF	days	days	0.000000	0.000040	0.108179	0.000000
rationalPower1,4,2,1	174	313814094	BF	days	months	0.000000	0.000016	0.032822	0.000000
rationalPower1,4,2,1	174	313814094	BF	months	seconds	0.177196	0.000015	0.999906	0.000000
rationalPower1,4,2,1	174	313814094	BF	months	minutes	0.000000	0.000009	0.994162	0.000000
rationalPower1,4,2,1	174	313814094	BF	months	hours	0.000000	0.000036	0.874870	0.000000
rationalPower1,4,2,1	174	313814094	BF	months	days	0.000000	0.000022	0.353226	0.000000
rationalPower1,4,2,1	174	313814094	BF	months	months	0.000000	0.000091	0.072215	0.000000
rationalPower1,4,2,1	174	313814094	BF	years	seconds	1.000000	0.000000	1.000000	0.000000
rationalPower1,4,4,1	302	313814094	BF	subsecond	seconds	0.067797	0.000000	0.146595	0.000000
rationalPower1,4,4,1	302	313814094	BF	subsecond	minutes	0.000000	0.000000	0.076283	0.000000
rationalPower1,4,4,1	302	313814094	BF	subsecond	hours	0.000000	0.000043	0.042522	0.000000
rationalPower1,4,4,1	302	313814094	BF	subsecond	days	0.000000	0.000103	0.028273	0.000000
rationalPower1,4,4,1	302	313814094	BF	subsecond	months	0.000000	0.000000	0.021548	0.000000
rationalPower1,4,4,1	302	313814094	BF	subsecond	years	0.000000	0.001000	0.010000	0.000000
rationalPower1,4,4,1	302	313814094	BF	seconds	seconds	0.114335	0.000026	0.315645	0.000000
rationalPower1,4,4,1	302	313814094	BF	seconds	minutes	0.000287	0.000031	0.081586	0.000000
rationalPower1,4,4,1	302	313814094	BF	seconds	hours	0.000000	0.000042	0.041399	0.000000
rationalPower1,4,4,1	302	313814094	BF	seconds	days	0.000000	0.000032	0.028234	0.000000
rationalPower1,4,4,1	302	313814094	BF	seconds	months	0.000000	0.000043	0.021545	0.000000
rationalPower1,4,4,1	302	313814094	BF	seconds	years	0.000000	0.000000	0.010000	0.000000
rationalPower1,4,4,1	302	313814094	BF	minutes	seconds	0.173513	0.000008	0.846401	0.000000
rationalPower1,4,4,1	302	313814094	BF	minutes	minutes	0.000000	0.000020	0.196568	0.000000
rationalPower1,4,4,1	302	313814094	BF	minutes	hours	0.000000	0.000046	0.047675	0.000000
rationalPower1,4,4,1	302	313814094	BF	minutes	days	0.000000	0.000046	0.027669	0.000000
rationalPower1,4,4,1	302	313814094	BF	minutes	months	0.000000	0.000034	0.021913	0.000000
rationalPower1,4,4,1	302	313814094	BF	hours	seconds	0.179808	0.000035	0.982308	0.000000
rationalPower1,4,4,1	302	313814094	BF	hours	minutes	0.000000	0.000042	0.562956	0.000000
rationalPower1,4,4,1	302	313814094	BF	hours	hours	0.000000	0.000047	0.123571	0.000000
rationalPower1,4,4,1	302	313814094	BF	hours	days	0.000000	0.000043	0.029432	0.000000
rationalPower1,4,4,1	302	313814094	BF	hours	months	0.000000	0.000040	0.022387	0.000000
rationalPower1,4,4,1	302	313814094	BF	days	seconds	0.171245	0.000025	0.998840	0.000000
rationalPower1,4,4,1	302	313814094	BF	days	minutes	0.000000	0.000036	0.934663	0.000000
rationalPower1,4,4,1	302	313814094	BF	days	hours	0.000000	0.000030	0.476883	0.000000
rationalPower1,4,4,1	302	313814094	BF	days	days	0.000000	0.000029	0.073000	0.000000
rationalPower1,4,4,1	302	313814094	BF	days	months	0.000000	0.000060	0.023012	0.000000
rationalPower1,4,4,1	302	313814094	BF	months	seconds	0.177196	0.000035	0.999872	0.000000
rationalPower1,4,4,1	302	313814094	BF	months	minutes	0.000000	0.000046	0.992143	0.000000
rationalPower1,4,4,1	302	313814094	BF	months	hours	0.000000	0.000075	0.831178	0.000000
rationalPower1,4,4,1	302	313814094	BF	months	days	0.000000	0.000050	0.239153	0.000000
rationalPower1,4,4,1	302	313814094	BF	months	months	0.000000	0.000045	0.045550	0.000000
rationalPower1,4,4,1	302	313814094	BF	years	seconds	1.000000	0.000000	1.000000	0.000000
rationalPower1,4,8,1	521	313814094	BF	subsecond	seconds	0.050847	0.000000	0.104212	0.000000
rationalPower1,4,8,1	521	313814094	BF	subsecond	minutes	0.000000	0.000034	0.047678	0.000000
rationalPower1,4,8,1	521	313814094	BF	subsecond	hours	0.000000	0.000000	0.024829	0.000000
rationalPower1,4,8,1	521	313814094	BF	subsecond	days	0.000000	0.000000	0.018483	0.000000
rationalPower1,4,8,1	521	313814094	BF	subsecond	months	0.000000	0.000000	0.016130	0.000000
rationalPower1,4,8,1	521	313814094	BF	subsecond	years	0.000000	0.002000	0.010000	0.000000
rationalPower1,4,8,1	521	313814094	BF	seconds	seconds	0.083022	0.000007	0.245110	0.000000
rationalPower1,4,8,1	521	313814094	BF	seconds	minutes	0.000287	0.000012	0.052745	0.000000
rationalPower1,4,8,1	521	313814094	BF	seconds	hours	0.000000	0.000029	0.024313	0.000000
rationalPower1,4,8,1	521	313814094	BF	seconds	days	0.000000	0.000009	0.018441	0.000000
rationalPower1,4,8,1	521	313814094	BF	seconds	months	0.000000	0.000029	0.016127	0.000000
rationalPower1,4,8,1	521	313814094	BF	seconds	years	0.000000	0.000000	0.010000	0.000000
rationalPower1,4,8,1	521	313814094	BF	minutes	seconds	0.171502	0.000012	0.768720	0.000000
rationalPower1,4,8,1	521	313814094	BF	minutes	minutes	0.000000	0.000008	0.141054	0.000000
rationalPower1,4,8,1	521	313814094	BF	minutes	hours	0.000000	0.000018	0.031446	0.000000
rationalPower1,4,8,1	521	313814094	BF	minutes	days	0.000000	0.000005	0.020105	0.000000
rationalPower1,4,8,1	521	313814094	BF	minutes	months	0.000000	0.000025	0.017151	0.000000
rationalPower1,4,8,1	521	313814094	BF	hours	seconds	0.179808	0.000024	0.967926	0.000000
rationalPower1,4,8,1	521	313814094	BF	hours	minutes	0.000000	0.000009	0.471516	0.000000
rationalPower1,4,8,1	521	313814094	BF	hours	hours	0.000000	0.000002	0.073577	0.000000
rationalPower1,4,8,1	521	313814094	BF	hours	days	0.000000	0.000031	0.021647	0.000000
rationalPower1,4,8,1	521	313814094	BF	hours	months	0.000000	0.000016	0.016531	0.000000
rationalPower1,4,8,1	521	313814094	BF	days	seconds	0.171245	0.000009	0.998129	0.000000
rationalPower1,4,8,1	521	313814094	BF	days	minutes	0.000000	0.000015	0.906300	0.000000
rationalPower1,4,8,1	521	313814094	BF	days	hours	0.000000	0.000015	0.395574	0.000000
rationalPower1,4,8,1	521	313814094	BF	days	days	0.000000	0.000039	0.049930	0.000000
rationalPower1,4,8,1	521	313814094	BF	days	months	0.000000	0.000034	0.017762	0.000000
rationalPower1,4,8,1	521	313814094	BF	months	seconds	0.177196	0.000048	0.999755	0.000000
rationalPower1,4,8,1	521	313814094	BF	months	minutes	0.000000	0.000026	0.986600	0.000000
rationalPower1,4,8,1	521	313814094	BF	months	hours	0.000000	0.000059	0.756143	0.000000
rationalPower1,4,8,1	521	313814094	BF	months	days	0.000000	0.000009	0.164634	0.000000
rationalPower1,4,8,1	521	313814094	BF	months	months	0.000000	0.000015	0.036188	0.000000
rationalPower1,4,8,1	521	313814094	BF	years	seconds	1.000000	0.000000	1.000000	0.000000
rationalPower1,4,16,1	889	313814094	BF	subsecond	seconds	0.033898	0.000322	0.070615	0.000000
rationalPower1,4,16,1	889	313814094	BF	subsecond	minutes	0.000000	0.000102	0.030729	0.000000
rationalPower1,4,16,1	889	313814094	BF	subsecond	hours	0.000000	0.000043	0.019729	0.000000
rationalPower1,4,16,1	889	313814094	BF	subsecond	days	0.000000	0.000000	0.014389	0.000000
rationalPower1,4,16,1	889	313814094	BF	subsecond	months	0.000000	0.000000	0.014237	0.000000
rationalPower1,4,16,1	889	313814094	BF	subsecond	years	0.000000	0.001000	0.010000	0.000000
rationalPower1,4,16,1	889	313814094	BF	seconds	seconds	0.070095	0.000007	0.189201	0.000000
rationalPower1,4,16,1	889	313814094	BF	seconds	minutes	0.000000	0.000009	0.036403	0.000000
rationalPower1,4,16,1	889	313814094	BF	seconds	hours	0.000000	0.000016	0.019096	0.000000
rationalPower1,4,16,1	889	313814094	BF	seconds	days	0.000000	0.000012	0.014346	0.000000
rationalPower1,4,16,1	889	313814094	BF	seconds	months	0.000000	0.000035	0.014234	0.000000
rationalPower1,4,16,1	889	313814094	BF	seconds	years	0.000000	0.000000	0.010000	0.000000
rationalPower1,4,16,1	889	313814094	BF	minutes	seconds	0.169492	0.000012	0.684851	0.000000
rationalPower1,4,16,1	889	313814094	BF	minutes	minutes	0.000000	0.000008	0.094373	0.000000
rationalPower1,4,16,1	889	313814094	BF	minutes	hours	0.000000	0.000008	0.023240	0.000000
rationalPower1,4,16,1	889	313814094	BF	minutes	days	0.000000	0.000016	0.015482	0.000000
rationalPower1,4,16,1	889	313814094	BF	minutes	months	0.000000	0.000020	0.014054	0.000000
rationalPower1,4,16,1	889	313814094	BF	hours	seconds	0.179808	0.000027	0.946099	0.000000
rationalPower1,4,16,1	889	313814094	BF	hours	minutes	0.000000	0.000019	0.361805	0.000000
rationalPower1,4,16,1	889	313814094	BF	hours	hours	0.000000	0.000004	0.047850	0.000000
rationalPower1,4,16,1	889	313814094	BF	hours	days	0.000000	0.000043	0.016583	0.000000
rationalPower1,4,16,1	889	313814094	BF	hours	months	0.000000	0.000016	0.013129	0.000000
rationalPower1,4,16,1	889	313814094	BF	days	seconds	0.171245	0.000004	0.996467	0.000000
rationalPower1,4,16,1	889	313814094	BF	days	minutes	0.000000	0.000010	0.851334	0.000000
rationalPower1,4,16,1	889	313814094	BF	days	hours	0.000000	0.000007	0.295426	0.000000
rationalPower1,4,16,1	889	313814094	BF	days	days	0.000000	0.000006	0.033910	0.000000
rationalPower1,4,16,1	889	313814094	BF	days	months	0.000000	0.000025	0.014605	0.000000
rationalPower1,4,16,1	889	313814094	BF	months	seconds	0.177196	0.000006	0.999606	0.000000
rationalPower1,4,16,1	889	313814094	BF	months	minutes	0.000000	0.000000	0.975557	0.000000
rationalPower1,4,16,1	889	313814094	BF	months	hours	0.000000	0.000012	0.634732	0.000000
rationalPower1,4,16,1	889	313814094	BF	months	days	0.000000	0.000028	0.115108	0.000000
rationalPower1,4,16,1	889	313814094	BF	months	months	0.000000	0.000076	0.026791	0.000000
rationalPower1,4,16,1	889	313814094	BF	years	seconds	1.000000	0.000000	1.000000	0.000000
rationalPower1,2,1,1	1428	313814094	BF	subsecond	seconds	0.016949	0.000051	0.090912	0.000000
rationalPower1,2,1,1	1428	313814094	BF	subsecond	minutes	0.000000	0.000017	0.044716	0.000000
rationalPower1,2,1,1	1428	313814094	BF	subsecond	hours	0.000000	0.000000	0.022271	0.000000
rationalPower1,2,1,1	1428	313814094	BF	subsecond	days	0.000000	0.000310	0.013256	0.000000
