#decay	# windows in store	# elements in stream	query	age class	length class	error:mean	latency:mean	ci-width:mean	ci-miss-rate
rationalPower1,2,1,1	1428	313814094	CMS	hours	seconds	0.414655	0.000008	1.899250	0.000000
rationalPower1,2,1,1	1428	313814094	CMS	hours	minutes	0.044565	0.000005	0.208408	0.000000
rationalPower1,2,1,1	1428	313814094	CMS	hours	hours	0.001818	0.000040	0.009825	0.000000
rationalPower1,2,1,1	1428	313814094	CMS	hours	days	0.000115	0.000156	0.000567	0.000000
rationalPower1,2,1,1	1428	313814094	CMS	hours	months	0.000016	0.000557	0.000084	0.000000
rationalPower1,2,1,1	1428	313814094	CMS	days	seconds	0.455208	0.000003	1.923651	0.000000
rationalPower1,2,1,1	1428	313814094	CMS	days	minutes	0.070016	0.000002	0.340130	0.000000
rationalPower1,2,1,1	1428	313814094	CMS	days	hours	0.005586	0.000003	0.026358	0.000000
rationalPower1,2,1,1	1428	313814094	CMS	days	days	0.000233	0.000051	0.001008	0.000000
rationalPower1,2,1,1	1428	313814094	CMS	days	months	0.000021	0.000429	0.000101	0.000000
rationalPower1,2,1,1	1428	313814094	CMS	months	seconds	0.440509	0.000003	1.926859	0.000000
rationalPower1,2,1,1	1428	313814094	CMS	months	minutes	0.075300	0.000008	0.371561	0.000000
rationalPower1,2,1,1	1428	313814094	CMS	months	hours	0.009613	0.000004	0.049807	0.000000
rationalPower1,2,1,1	1428	313814094	CMS	months	days	0.000441	0.000022	0.002327	0.000000
rationalPower1,2,1,1	1428	313814094	CMS	months	months	0.000048	0.000182	0.000236	0.000000
rationalPower1,2,1,1	1428	313814094	CMS	years	seconds	0.000100	0.000000	2.000000	0.000000
rationalPower1,4,32,1	1523	313814094	CMS	subsecond	seconds	0.014397	0.000017	0.043944	0.000000
rationalPower1,4,32,1	1523	313814094	CMS	subsecond	minutes	0.005245	0.000068	0.020196	0.000000
rationalPower1,4,32,1	1523	313814094	CMS	subsecond	hours	0.000611	0.000130	0.003344	0.000000
rationalPower1,4,32,1	1523	313814094	CMS	subsecond	days	0.000076	0.000552	0.000474	0.000000
rationalPower1,4,32,1	1523	313814094	CMS	subsecond	months	0.000023	0.000727	0.000088	0.000000
rationalPower1,4,32,1	1523	313814094	CMS	subsecond	years	0.000000	0.002000	0.000000	0.000000
rationalPower1,4,32,1	1523	313814094	CMS	seconds	seconds	0.057543	0.000006	0.342616	0.000000
rationalPower1,4,32,1	1523	313814094	CMS	seconds	minutes	0.005891	0.000028	0.022767	0.000000
rationalPower1,4,32,1	1523	313814094	CMS	seconds	hours	0.000688	0.000102	0.003335	0.000000
rationalPower1,4,32,1	1523	313814094	CMS	seconds	days	0.000096	0.000277	0.000472	0.000000
rationalPower1,4,32,1	1523	313814094	CMS	seconds	months	0.000018	0.000431	0.000088	0.000000
rationalPower1,4,32,1	1523	313814094	CMS	seconds	years	0.000000	0.001000	0.000000	0.000000
rationalPower1,4,32,1	1523	313814094	CMS	minutes	seconds	0.270836	0.000003	1.460121	0.000000
rationalPower1,4,32,1	1523	313814094	CMS	minutes	minutes	0.012878	0.000015	0.063311	0.000000
