#decay	# windows in store	# elements in stream	query	age class	length class	error:mean	latency:p95	ci-width:p95	ci-miss-rate
rationalPower1,4,8,1	524	329573348	BF	years	seconds	1.000000	0.000000	1.000000	0.000000
rationalPower1,4,16,1	897	329573348	BF	subsecond	seconds	0.033898	0.000500	0.263898	0.000000
rationalPower1,4,16,1	897	329573348	BF	subsecond	minutes	0.000000	0.000500	0.115408	0.000000
rationalPower1,4,16,1	897	329573348	BF	subsecond	hours	0.000000	0.000000	0.040833	0.000000
rationalPower1,4,16,1	897	329573348	BF	subsecond	days	0.000000	0.000500	0.021184	0.000000
rationalPower1,4,16,1	897	329573348	BF	subsecond	months	0.000000	0.000000	0.017390	0.000000
rationalPower1,4,16,1	897	329573348	BF	subsecond	years	0.000000	0.002000	0.010000	0.000000
rationalPower1,4,16,1	897	329573348	BF	seconds	seconds	0.060902	0.000500	0.580242	0.000000
rationalPower1,4,16,1	897	329573348	BF	seconds	minutes	0.000000	0.000500	0.119165	0.000000
rationalPower1,4,16,1	897	329573348	BF	seconds	hours	0.000000	0.000500	0.047708	0.000000
rationalPower1,4,16,1	897	329573348	BF	seconds	days	0.000000	0.000500	0.021151	0.000000
rationalPower1,4,16,1	897	329573348	BF	seconds	months	0.000000	0.000500	0.017381	0.000000
rationalPower1,4,16,1	897	329573348	BF	seconds	years	0.000000	0.002000	0.010000	0.000000
rationalPower1,4,16,1	897	329573348	BF	minutes	seconds	0.259121	0.000500	0.979298	0.000000
rationalPower1,4,16,1	897	329573348	BF	minutes	minutes	0.003735	0.000500	0.371980	0.000000
rationalPower1,4,16,1	897	329573348	BF	minutes	hours	0.000000	0.000500	0.050390	0.000000
rationalPower1,4,16,1	897	329573348	BF	minutes	days	0.000000	0.000500	0.023226	0.000000
rationalPower1,4,16,1	897	329573348	BF	minutes	months	0.000000	0.001500	0.017182	0.000000
rationalPower1,4,16,1	897	329573348	BF	hours	seconds	0.230656	0.000500	0.997099	0.000000
rationalPower1,4,16,1	897	329573348	BF	hours	minutes	0.000737	0.000500	0.817277	0.000000
rationalPower1,4,16,1	897	329573348	BF	hours	hours	0.000000	0.000500	0.135977	0.000000
rationalPower1,4,16,1	897	329573348	BF	hours	days	0.000000	0.000500	0.027003	0.000000
rationalPower1,4,16,1	897	329573348	BF	hours	months	0.000000	0.000500	0.016963	0.000000
rationalPower1,4,16,1	897	329573348	BF	days	seconds	0.261251	0.000500	0.999821	0.000000
rationalPower1,4,16,1	897	329573348	BF	days	minutes	0.040912	0.000500	0.984527	0.000000
rationalPower1,4,16,1	897	329573348	BF	days	hours	0.001499	0.000500	0.722893	0.000000
rationalPower1,4,16,1	897	329573348	BF	days	days	0.000000	0.000500	0.085449	0.000000
rationalPower1,4,16,1	897	329573348	BF	days	months	0.000000	0.000500	0.019794	0.000000
rationalPower1,4,16,1	897	329573348	BF	months	seconds	0.391371	0.000500	0.999979	0.000000
rationalPower1,4,16,1	897	329573348	BF	months	minutes	0.095532	0.000500	0.998281	0.000000
rationalPower1,4,16,1	897	329573348	BF	months	hours	0.019763	0.000500	0.953306	0.000000
rationalPower1,4,16,1	897	329573348	BF	months	days	0.000000	0.000500	0.362737	0.000000
rationalPower1,4,16,1	897	329573348	BF	months	months	0.000000	0.000500	0.074529	0.000000
rationalPower1,4,16,1	897	329573348	BF	years	seconds	1.000000	0.001000	1.000000	0.000000
rationalPower1,2,1,1	1456	329573348	BF	subsecond	seconds	0.033898	0.000000	0.322886	0.000000
rationalPower1,2,1,1	1456	329573348	BF	subsecond	minutes	0.000000	0.000000	0.125825	0.000000
rationalPower1,2,1,1	1456	329573348	BF	subsecond	hours	0.000000	0.000000	0.031497	0.000000
rationalPower1,2,1,1	1456	329573348	BF	subsecond	days	0.000000	0.000500	0.017004	0.000000
rationalPower1,2,1,1	1456	329573348	BF	subsecond	months	0.000000	0.000000	0.013755	0.000000
rationalPower1,2,1,1	1456	329573348	BF	subsecond	years	0.000000	0.000000	0.010000	0.000000
rationalPower1,2,1,1	1456	329573348	BF	seconds	seconds	0.074978	0.000500	0.615537	0.000000
rationalPower1,2,1,1	1456	329573348	BF	seconds	minutes	0.000000	0.000500	0.120344	0.000000
rationalPower1,2,1,1	1456	329573348	BF	seconds	hours	0.000000	0.000500	0.036775	0.000000
rationalPower1,2,1,1	1456	329573348	BF	seconds	days	0.000000	0.000500	0.016818	0.000000
rationalPower1,2,1,1	1456	329573348	BF	seconds	months	0.000000	0.000493	0.013754	0.000000
rationalPower1,2,1,1	1456	329573348	BF	seconds	years	0.000000	0.000000	0.010000	0.000000
rationalPower1,2,1,1	1456	329573348	BF	minutes	seconds	0.263143	0.000500	0.982998	0.000000
rationalPower1,2,1,1	1456	329573348	BF	minutes	minutes	0.003735	0.000500	0.411317	0.000000
rationalPower1,2,1,1	1456	329573348	BF	minutes	hours	0.000000	0.000500	0.051203	0.000000
rationalPower1,2,1,1	1456	329573348	BF	minutes	days	0.000000	0.000500	0.019003	0.000000
rationalPower1,2,1,1	1456	329573348	BF	minutes	months	0.000000	0.000500	0.013688	0.000000
rationalPower1,2,1,1	1456	329573348	BF	hours	seconds	0.230656	0.000500	0.997074	0.000000
rationalPower1,2,1,1	1456	329573348	BF	hours	minutes	0.000737	0.000500	0.827189	0.000000
rationalPower1,2,1,1	1456	329573348	BF	hours	hours	0.000000	0.000500	0.140156	0.000000
rationalPower1,2,1,1	1456	329573348	BF	hours	days	0.000000	0.000493	0.024847	0.000000
rationalPower1,2,1,1	1456	329573348	BF	hours	months	0.000000	0.001487	0.013701	0.000000
rationalPower1,2,1,1	1456	329573348	BF	days	seconds	0.261251	0.000500	0.999707	0.000000
rationalPower1,2,1,1	1456	329573348	BF	days	minutes	0.040912	0.000498	0.976200	0.000000
rationalPower1,2,1,1	1456	329573348	BF	days	hours	0.001499	0.000500	0.631926	0.000000
rationalPower1,2,1,1	1456	329573348	BF	days	days	0.000000	0.000500	0.059546	0.000000
rationalPower1,2,1,1	1456	329573348	BF	days	months	0.000000	0.000493	0.016303	0.000000
rationalPower1,2,1,1	1456	329573348	BF	months	seconds	0.391371	0.000500	0.999945	0.000000
rationalPower1,2,1,1	1456	329573348	BF	months	minutes	0.095532	0.000500	0.994962	0.000000
rationalPower1,2,1,1	1456	329573348	BF	months	hours	0.019763	0.000500	0.852933	0.000000
rationalPower1,2,1,1	1456	329573348	BF	months	days	0.000000	0.000500	0.189779	0.000000
rationalPower1,2,1,1	1456	329573348	BF	months	months	0.000000	0.000500	0.031430	0.000000
rationalPower1,2,1,1	1456	329573348	BF	years	seconds	1.000000	0.000000	1.000000	0.000000
rationalPower1,4,32,1	1539	329573348	BF	subsecond	seconds	0.033898	0.000000	0.212506	0.000000
rationalPower1,4,32,1	1539	329573348	BF	subsecond	minutes	0.000000	0.000500	0.095138	0.000000
rationalPower1,4,32,1	1539	329573348	BF	subsecond	hours	0.000000	0.000500	0.027862	0.000000
rationalPower1,4,32,1	1539	329573348	BF	subsecond	days	0.000000	0.000000	0.017310	0.000000
rationalPower1,4,32,1	1539	329573348	BF	subsecond	months	0.000000	0.000000	0.015777	0.000000
rationalPower1,4,32,1	1539	329573348	BF	subsecond	years	0.000000	0.000000	0.010000	0.000000
rationalPower1,4,32,1	1539	329573348	BF	seconds	seconds	0.032175	0.000500	0.344345	0.000000
rationalPower1,4,32,1	1539	329573348	BF	seconds	minutes	0.000000	0.000500	0.090318	0.000000
rationalPower1,4,32,1	1539	329573348	BF	seconds	hours	0.000000	0.000500	0.022551	0.000000
rationalPower1,4,32,1	1539	329573348	BF	seconds	days	0.000000	0.000500	0.016525	0.000000
rationalPower1,4,32,1	1539	329573348	BF	seconds	months	0.000000	0.000500	0.015767	0.000000
rationalPower1,4,32,1	1539	329573348	BF	seconds	years	0.000000	0.000000	0.010000	0.000000
rationalPower1,4,32,1	1539	329573348	BF	minutes	seconds	0.254812	0.000500	0.972147	0.000000
rationalPower1,4,32,1	1539	329573348	BF	minutes	minutes	0.003735	0.000500	0.297581	0.000000
rationalPower1,4,32,1	1539	329573348	BF	minutes	hours	0.000000	0.000500	0.039932	0.000000
rationalPower1,4,32,1	1539	329573348	BF	minutes	days	0.000000	0.000500	0.017013	0.000000
rationalPower1,4,32,1	1539	329573348	BF	minutes	months	0.000000	0.000500	0.015044	0.000000
rationalPower1,4,32,1	1539	329573348	BF	hours	seconds	0.230656	0.000500	0.995560	0.000000
rationalPower1,4,32,1	1539	329573348	BF	hours	minutes	0.000737	0.000500	0.735672	0.000000
rationalPower1,4,32,1	1539	329573348	BF	hours	hours	0.000000	0.000500	0.101383	0.000000
rationalPower1,4,32,1	1539	329573348	BF	hours	days	0.000000	0.000500	0.020244	0.000000
rationalPower1,4,32,1	1539	329573348	BF	hours	months	0.000000	0.000500	0.014709	0.000000
rationalPower1,4,32,1	1539	329573348	BF	days	seconds	0.261251	0.000500	0.999725	0.000000
rationalPower1,4,32,1	1539	329573348	BF	days	minutes	0.040912	0.000500	0.976037	0.000000
rationalPower1,4,32,1	1539	329573348	BF	days	hours	0.001499	0.000500	0.640622	0.000000
rationalPower1,4,32,1	1539	329573348	BF	days	days	0.000000	0.000500	0.060002	0.000000
rationalPower1,4,32,1	1539	329573348	BF	days	months	0.000000	0.000500	0.016399	0.000000
rationalPower1,4,32,1	1539	329573348	BF	months	seconds	0.391371	0.000500	0.999958	0.000000
rationalPower1,4,32,1	1539	329573348	BF	months	minutes	0.095532	0.000500	0.996399	0.000000
rationalPower1,4,32,1	1539	329573348	BF	months	hours	0.019763	0.000500	0.897058	0.000000
rationalPower1,4,32,1	1539	329573348	BF	months	days	0.000000	0.000500	0.266524	0.000000
rationalPower1,4,32,1	1539	329573348	BF	months	months	0.000000	0.000500	0.041668	0.000000
rationalPower1,4,32,1	1539	329573348	BF	years	seconds	1.000000	0.000000	1.000000	0.000000
rationalPower1,2,2,1	2318	329573348	BF	subsecond	seconds	0.033898	0.000000	0.256556	0.000000
rationalPower1,2,2,1	2318	329573348	BF	subsecond	minutes	0.000000	0.000500	0.102493	0.000000
rationalPower1,2,2,1	2318	329573348	BF	subsecond	hours	0.000000	0.000000	0.028570	0.000000
rationalPower1,2,2,1	2318	329573348	BF	subsecond	days	0.000000	0.002500	0.016137	0.000000
rationalPower1,2,2,1	2318	329573348	BF	subsecond	months	0.000000	0.000000	0.013082	0.000000
rationalPower1,2,2,1	2318	329573348	BF	subsecond	years	0.000000	0.001000	0.010000	0.000000
rationalPower1,2,2,1	2318	329573348	BF	seconds	seconds	0.058891	0.000500	0.530046	0.000000
rationalPower1,2,2,1	2318	329573348	BF	seconds	minutes	0.000000	0.000500	0.100199	0.000000
rationalPower1,2,2,1	2318	329573348	BF	seconds	hours	0.000000	0.000500	0.026708	0.000000
rationalPower1,2,2,1	2318	329573348	BF	seconds	days	0.000000	0.000500	0.015644	0.000000
rationalPower1,2,2,1	2318	329573348	BF	seconds	months	0.000000	0.001500	0.013072	0.000000
rationalPower1,2,2,1	2318	329573348	BF	seconds	years	0.000000	0.000000	0.010000	0.000000
rationalPower1,2,2,1	2318	329573348	BF	minutes	seconds	0.259983	0.000500	0.975747	0.000000
rationalPower1,2,2,1	2318	329573348	BF	minutes	minutes	0.003735	0.000500	0.332749	0.000000
rationalPower1,2,2,1	2318	329573348	BF	minutes	hours	0.000000	0.000500	0.043680	0.000000
rationalPower1,2,2,1	2318	329573348	BF	minutes	days	0.000000	0.000500	0.016314	0.000000
rationalPower1,2,2,1	2318	329573348	BF	minutes	months	0.000000	0.001500	0.012363	0.000000
rationalPower1,2,2,1	2318	329573348	BF	hours	seconds	0.230656	0.000500	0.995753	0.000000
rationalPower1,2,2,1	2318	329573348	BF	hours	minutes	0.000737	0.000500	0.744635	0.000000
rationalPower1,2,2,1	2318	329573348	BF	hours	hours	0.000000	0.000500	0.106145	0.000000
rationalPower1,2,2,1	2318	329573348	BF	hours	days	0.000000	0.000500	0.019670	0.000000
rationalPower1,2,2,1	2318	329573348	BF	hours	months	0.000000	0.000500	0.012114	0.000000
rationalPower1,2,2,1	2318	329573348	BF	days	seconds	0.261251	0.000500	0.999578	0.000000
rationalPower1,2,2,1	2318	329573348	BF	days	minutes	0.040912	0.000500	0.965418	0.000000
rationalPower1,2,2,1	2318	329573348	BF	days	hours	0.001499	0.000500	0.502196	0.000000
