#decay	# windows in store	# elements in stream	query	age class	length class	error:mean	latency:p99	ci-width:p99	ci-miss-rate
rationalPower1,4,8,1	521	313814094	BF	seconds	months	0.000000	0.001500	0.026239	0.000000
rationalPower1,4,8,1	521	313814094	BF	seconds	years	0.000000	0.000000	0.010000	0.000000
rationalPower1,4,8,1	521	313814094	BF	minutes	seconds	0.171502	0.000500	0.999945	0.000000
rationalPower1,4,8,1	521	313814094	BF	minutes	minutes	0.000000	0.000500	0.695753	0.000000
rationalPower1,4,8,1	521	313814094	BF	minutes	hours	0.000000	0.001500	0.098820	0.000000
rationalPower1,4,8,1	521	313814094	BF	minutes	days	0.000000	0.000500	0.042044	0.000000
rationalPower1,4,8,1	521	313814094	BF	minutes	months	0.000000	0.002000	0.026106	0.000000
rationalPower1,4,8,1	521	313814094	BF	hours	seconds	0.179808	0.001500	0.999984	0.000000
rationalPower1,4,8,1	521	313814094	BF	hours	minutes	0.000000	0.000500	0.962002	0.000000
rationalPower1,4,8,1	521	313814094	BF	hours	hours	0.000000	0.000500	0.423712	0.000000
rationalPower1,4,8,1	521	313814094	BF	hours	days	0.000000	0.001500	0.047207	0.000000
rationalPower1,4,8,1	521	313814094	BF	hours	months	0.000000	0.001500	0.025934	0.000000
rationalPower1,4,8,1	521	313814094	BF	days	seconds	0.171245	0.000500	0.999999	0.000000
rationalPower1,4,8,1	521	313814094	BF	days	minutes	0.000000	0.000500	0.997699	0.000000
rationalPower1,4,8,1	521	313814094	BF	days	hours	0.000000	0.001500	0.916736	0.000000
rationalPower1,4,8,1	521	313814094	BF	days	days	0.000000	0.001500	0.306187	0.000000
rationalPower1,4,8,1	521	313814094	BF	days	months	0.000000	0.001500	0.040848	0.000000
rationalPower1,4,8,1	521	313814094	BF	months	seconds	0.177196	0.003500	1.000000	0.000000
rationalPower1,4,8,1	521	313814094	BF	months	minutes	0.000000	0.001500	0.999771	0.000000
rationalPower1,4,8,1	521	313814094	BF	months	hours	0.000000	0.003000	0.986317	0.000000
rationalPower1,4,8,1	521	313814094	BF	months	days	0.000000	0.000500	0.781764	0.000000
rationalPower1,4,8,1	521	313814094	BF	months	months	0.000000	0.001000	0.127467	0.000000
rationalPower1,4,8,1	521	313814094	BF	years	seconds	1.000000	0.000000	1.000000	0.000000
rationalPower1,4,16,1	889	313814094	BF	subsecond	seconds	0.033898	0.006000	0.225747	0.000000
rationalPower1,4,16,1	889	313814094	BF	subsecond	minutes	0.000000	0.005000	0.077640	0.000000
rationalPower1,4,16,1	889	313814094	BF	subsecond	hours	0.000000	0.001000	0.032379	0.000000
rationalPower1,4,16,1	889	313814094	BF	subsecond	days	0.000000	0.000000	0.019578	0.000000
rationalPower1,4,16,1	889	313814094	BF	subsecond	months	0.000000	0.000000	0.017540	0.000000
rationalPower1,4,16,1	889	313814094	BF	subsecond	years	0.000000	0.001000	0.010000	0.000000
rationalPower1,4,16,1	889	313814094	BF	seconds	seconds	0.070095	0.000500	0.876053	0.000000
rationalPower1,4,16,1	889	313814094	BF	seconds	minutes	0.000000	0.000500	0.127271	0.000000
rationalPower1,4,16,1	889	313814094	BF	seconds	hours	0.000000	0.000500	0.035294	0.000000
rationalPower1,4,16,1	889	313814094	BF	seconds	days	0.000000	0.000500	0.019553	0.000000
rationalPower1,4,16,1	889	313814094	BF	seconds	months	0.000000	0.003500	0.017538	0.000000
rationalPower1,4,16,1	889	313814094	BF	seconds	years	0.000000	0.000000	0.010000	0.000000
rationalPower1,4,16,1	889	313814094	BF	minutes	seconds	0.169492	0.000500	0.999940	0.000000
rationalPower1,4,16,1	889	313814094	BF	minutes	minutes	0.000000	0.000500	0.467071	0.000000
rationalPower1,4,16,1	889	313814094	BF	minutes	hours	0.000000	0.000500	0.060900	0.000000
rationalPower1,4,16,1	889	313814094	BF	minutes	days	0.000000	0.000500	0.025507	0.000000
rationalPower1,4,16,1	889	313814094	BF	minutes	months	0.000000	0.002000	0.017396	0.000000
rationalPower1,4,16,1	889	313814094	BF	hours	seconds	0.179808	0.000500	0.999969	0.000000
rationalPower1,4,16,1	889	313814094	BF	hours	minutes	0.000000	0.000500	0.924374	0.000000
rationalPower1,4,16,1	889	313814094	BF	hours	hours	0.000000	0.000500	0.234519	0.000000
rationalPower1,4,16,1	889	313814094	BF	hours	days	0.000000	0.002500	0.031270	0.000000
rationalPower1,4,16,1	889	313814094	BF	hours	months	0.000000	0.001000	0.018794	0.000000
rationalPower1,4,16,1	889	313814094	BF	days	seconds	0.171245	0.000500	0.999998	0.000000
rationalPower1,4,16,1	889	313814094	BF	days	minutes	0.000000	0.000500	0.995439	0.000000
rationalPower1,4,16,1	889	313814094	BF	days	hours	0.000000	0.000500	0.859121	0.000000
rationalPower1,4,16,1	889	313814094	BF	days	days	0.000000	0.000500	0.178597	0.000000
rationalPower1,4,16,1	889	313814094	BF	days	months	0.000000	0.000500	0.026490	0.000000
rationalPower1,4,16,1	889	313814094	BF	months	seconds	0.177196	0.000500	1.000000	0.000000
rationalPower1,4,16,1	889	313814094	BF	months	minutes	0.000000	0.000000	0.999446	0.000000
rationalPower1,4,16,1	889	313814094	BF	months	hours	0.000000	0.001000	0.975753	0.000000
rationalPower1,4,16,1	889	313814094	BF	months	days	0.000000	0.001000	0.567105	0.000000
rationalPower1,4,16,1	889	313814094	BF	months	months	0.000000	0.005000	0.072643	0.000000
rationalPower1,4,16,1	889	313814094	BF	years	seconds	1.000000	0.000000	1.000000	0.000000
rationalPower1,2,1,1	1428	313814094	BF	subsecond	seconds	0.016949	0.002000	0.226800	0.000000
rationalPower1,2,1,1	1428	313814094	BF	subsecond	minutes	0.000000	0.001000	0.163850	0.000000
rationalPower1,2,1,1	1428	313814094	BF	subsecond	hours	0.000000	0.000000	0.050281	0.000000
rationalPower1,2,1,1	1428	313814094	BF	subsecond	days	0.000000	0.009000	0.019080	0.000000
rationalPower1,2,1,1	1428	313814094	BF	subsecond	months	0.000000	0.000000	0.015032	0.000000
rationalPower1,2,1,1	1428	313814094	BF	subsecond	years	0.000000	0.002000	0.010000	0.000000
rationalPower1,2,1,1	1428	313814094	BF	seconds	seconds	0.078426	0.001000	0.911641	0.000000
rationalPower1,2,1,1	1428	313814094	BF	seconds	minutes	0.000000	0.000500	0.161553	0.000000
rationalPower1,2,1,1	1428	313814094	BF	seconds	hours	0.000000	0.000500	0.047739	0.000000
rationalPower1,2,1,1	1428	313814094	BF	seconds	days	0.000000	0.005000	0.019050	0.000000
rationalPower1,2,1,1	1428	313814094	BF	seconds	months	0.000000	0.001500	0.015029	0.000000
rationalPower1,2,1,1	1428	313814094	BF	seconds	years	0.000000	0.000000	0.010000	0.000000
rationalPower1,2,1,1	1428	313814094	BF	minutes	seconds	0.170641	0.000500	0.999945	0.000000
rationalPower1,2,1,1	1428	313814094	BF	minutes	minutes	0.000000	0.001000	0.612369	0.000000
rationalPower1,2,1,1	1428	313814094	BF	minutes	hours	0.000000	0.005000	0.062072	0.000000
rationalPower1,2,1,1	1428	313814094	BF	minutes	days	0.000000	0.001500	0.023436	0.000000
